config,T_kv,mode,pipeline,flops,bytes,arithmetic_intensity
qwen25_05b,2048,decode,P0,7483392,1050368,7.1245
qwen25_05b,2048,decode,P1,7483392,9733888,0.7688
qwen25_05b,2048,decode,P3,7483392,296704,25.2217
qwen25_05b,2048,decode,P5,7483392,296704,25.2217
qwen25_05b,2048,prefill,P0,15325986816,4718592,3248.0
qwen25_05b,2048,prefill,P1,15325986816,13402112,1143.5501
qwen25_05b,2048,prefill,P3,15325986816,3964928,3865.3884
qwen25_05b,2048,prefill,P5,15325986816,3964928,3865.3884
qwen25_05b,4096,decode,P0,14966784,2098944,7.1306
qwen25_05b,4096,decode,P1,14966784,19465984,0.7689
qwen25_05b,4096,decode,P3,14966784,591616,25.2981
qwen25_05b,4096,decode,P5,14966784,591616,25.2981
qwen25_05b,4096,prefill,P0,61303947264,9437184,6496.0
qwen25_05b,4096,prefill,P1,61303947264,26804224,2287.1002
qwen25_05b,4096,prefill,P3,61303947264,7929856,7730.7769
qwen25_05b,4096,prefill,P5,61303947264,7929856,7730.7769
qwen25_05b,8192,decode,P0,29933568,4196096,7.1337
qwen25_05b,8192,decode,P1,29933568,38930176,0.7689
qwen25_05b,8192,decode,P3,29933568,1181440,25.3365
qwen25_05b,8192,decode,P5,29933568,1181440,25.3365
qwen25_05b,8192,prefill,P0,245215789056,18874368,12992.0
qwen25_05b,8192,prefill,P1,245215789056,53608448,4574.2005
qwen25_05b,8192,prefill,P3,245215789056,15859712,15461.5537
qwen25_05b,8192,prefill,P5,245215789056,15859712,15461.5537
qwen25_05b,16384,decode,P0,59867136,8390400,7.1352
qwen25_05b,16384,decode,P1,59867136,77858560,0.7689
qwen25_05b,16384,decode,P3,59867136,2361088,25.3557
qwen25_05b,16384,decode,P5,59867136,2361088,25.3557
qwen25_05b,16384,prefill,P0,980863156224,37748736,25984.0
qwen25_05b,16384,prefill,P1,980863156224,107216896,9148.401
qwen25_05b,16384,prefill,P3,980863156224,31719424,30923.1074
qwen25_05b,16384,prefill,P5,980863156224,31719424,30923.1074
qwen25_7b,2048,decode,P0,29646848,4201472,7.0563
qwen25_7b,2048,decode,P1,29646848,38935552,0.7614
qwen25_7b,2048,decode,P3,29646848,1186816,24.9802
qwen25_7b,2048,decode,P5,29646848,1186816,24.9802
qwen25_7b,2048,prefill,P0,60716744704,18874368,3216.8889
qwen25_7b,2048,prefill,P1,60716744704,53608448,1132.5966
qwen25_7b,2048,prefill,P3,60716744704,15859712,3828.3636
qwen25_7b,2048,prefill,P5,60716744704,15859712,3828.3636
qwen25_7b,4096,decode,P0,59293696,8395776,7.0623
qwen25_7b,4096,decode,P1,59293696,77863936,0.7615
qwen25_7b,4096,decode,P3,59293696,2366464,25.0558
qwen25_7b,4096,decode,P5,59293696,2366464,25.0558
qwen25_7b,4096,prefill,P0,242866978816,37748736,6433.7778
qwen25_7b,4096,prefill,P1,242866978816,107216896,2265.1932
qwen25_7b,4096,prefill,P3,242866978816,31719424,7656.7273
qwen25_7b,4096,prefill,P5,242866978816,31719424,7656.7273
qwen25_7b,8192,decode,P0,118587392,16784384,7.0653
qwen25_7b,8192,decode,P1,118587392,155720704,0.7615
qwen25_7b,8192,decode,P3,118587392,4725760,25.0938
qwen25_7b,8192,decode,P5,118587392,4725760,25.0938
qwen25_7b,8192,prefill,P0,971467915264,75497472,12867.5556
qwen25_7b,8192,prefill,P1,971467915264,214433792,4530.3863
qwen25_7b,8192,prefill,P3,971467915264,63438848,15313.4545
qwen25_7b,8192,prefill,P5,971467915264,63438848,15313.4545
qwen25_7b,16384,decode,P0,237174784,33561600,7.0668
qwen25_7b,16384,decode,P1,237174784,311434240,0.7616
qwen25_7b,16384,decode,P3,237174784,9444352,25.1129
qwen25_7b,16384,decode,P5,237174784,9444352,25.1129
qwen25_7b,16384,prefill,P0,3885871661056,150994944,25735.1111
qwen25_7b,16384,prefill,P1,3885871661056,428867584,9060.7726
qwen25_7b,16384,prefill,P3,3885871661056,126877696,30626.9091
qwen25_7b,16384,prefill,P5,3885871661056,126877696,30626.9091
